,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
345,SRM University Sikkim,"₹ 225,000",JEE MAIN, 7.9 ,(79 Reviews),"['BCI, NCHMCT, UGC, AIU']","Sonepat,Haryana",https://collegedunia.com/university/54838-srm-university-delhi-ncr-sonepat
346,LNCT University - [LNCTU],"₹ 80,000",JEE MAIN, 7.9 ,(79 Reviews),"['BCI, NCHMCT, UGC, AIU']","Sonepat,Haryana",https://collegedunia.com/university/54838-srm-university-delhi-ncr-sonepat
347,Avantika University,"₹ 222,500",JEE MAIN, 9.1 ,(6 Reviews),['UGC'],"Ujjain,MadhyaPradesh",https://collegedunia.com/university/57749-avantika-university-ujjain
348,C. U. Shah University,"₹ 77,800",GUJCET, 6.8 ,(41 Reviews),"['NCTE, AICTE, PCI, BCI, UGC']","Wadhwan,Gujarat",https://collegedunia.com/university/57953-c-u-shah-university-wadhwan
349,P.P. Savani University,"₹ 111,500",GUJCET, 9.1 ,(55 Reviews),['UGC'],"Surat,Gujarat",https://collegedunia.com/university/59211-pp-savani-university-surat
350,AISSMS College of Engineering - [AISSMSCOE],"₹ 140,251",JEE MAIN, 8.2 ,(123 Reviews),['AICTE'],"Pune,Maharashtra",https://collegedunia.com/college/12779-aissms-college-of-engineering-aissmscoe-pune
351,Amal Jyothi College of Engineering  - [AJCE],"₹ 100,000",KEAM, 7.6 ,(74 Reviews),['NBA'],"Kanjirappally,Kerala",https://collegedunia.com/college/12792-amal-jyothi-college-of-engineering-ajce-kanjirappally
352,Bengal Institute of Technology - [BIT],"₹ 347,000",JEE MAIN, 7.6 ,(49 Reviews),['AICTE'],"Kolkata,WestBengal",https://collegedunia.com/college/13016-bengal-institute-of-technology-bit-kolkata
353,Bhagwan Parshuram Institute of Technology - [BPIT],"₹ 97,800",IPU CET, 7.5 ,(120 Reviews),"['AICTE, NBA']","NewDelhi,DelhiNCR",https://collegedunia.com/college/13032-bhagwan-parshuram-institute-of-technology-bpit-new-delhi
354,Bhilai Institute of Technology - [BIT],"₹ 81,400",CHATTISGARH PRE ENGINEER..., 7.3 ,(132 Reviews),"['AICTE, NBA']","Durg,Chhattisgarh",https://collegedunia.com/college/13071-bhilai-institute-of-technology-bit-durg
355,Canara Engineering College - [CEC],"₹ 100,000",JEE MAIN, 7.4 ,(34 Reviews),['AICTE'],"Mangalore,Karnataka",https://collegedunia.com/college/13160-canara-engineering-college-cec-mangalore
356,DKTE Society's Textile and Engineering Institute - [DKTE],"₹ 106,000",JEE MAIN, 8.2 ,(82 Reviews),"['AICTE, NBA']","Kolhapur,Maharashtra",https://collegedunia.com/college/13293-dkte-societys-textile-and-engineering-institute-dkte-kolhapur
357,East West Institute of Technology - [EWIT],--,COMEDK UGET, 6.7 ,(57 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/13430-east-west-institute-of-technology-ewit-bangalore
358,GS Mandal's Marathwada Institute of Technology - [MIT],"₹ 101,000",JEE MAIN, 7.2 ,(32 Reviews),['AICTE'],"Aurangabad,Maharashtra",https://collegedunia.com/college/13512-gs-mandals-marathwada-institute-of-technology-mit-aurangabad
359,Hindustan College of Engineering - [HCE],"₹ 50,000",KEAM, 8 ,(17 Reviews),['AICTE'],"Kollam,Kerala",https://collegedunia.com/college/13720-hindustan-college-of-engineering-hce-kollam
360,IMS Engineering College - [IMSEC],"₹ 135,169",JEE MAIN, 7.6 ,(264 Reviews),['AICTE'],"Ghaziabad,UttarPradesh",https://collegedunia.com/college/13759-ims-engineering-college-imsec-ghaziabad
361,Jayawantrao Sawant College of Engineering- [JSCOE],"₹ 112,500",JEE MAIN, 6.5 ,(48 Reviews),"['AICTE, NBA']","Pune,Maharashtra",https://collegedunia.com/college/13872-jayawantrao-sawant-college-of-engineering-jscoe-pune
362,Jerusalem College of Engineering - [JCE],"₹ 50,000",TNEA, 7.7 ,(26 Reviews),['NBA'],"Chennai,TamilNadu",https://collegedunia.com/college/13878-jerusalem-college-of-engineering-jce-chennai
363,Keshav Memorial Institute of Technology - [KMIT],"₹ 111,500",TS EAMCET, 8.2 ,(100 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/13998-keshav-memorial-institute-of-technology-kmit-hyderabad
364,MIT-WPU Faculty of Engineering,"₹ 310,000",JEE MAIN, 7.9 ,(59 Reviews),['AICTE'],"Pune,Maharashtra",https://collegedunia.com/college/14137-mitwpu-faculty-of-engineering-pune
365,Maharashtra Institute of Technology - [MIT],"₹ 101,200",JEE MAIN, 7.5 ,(62 Reviews),"['AICTE, UGC']","Aurangabad,Maharashtra",https://collegedunia.com/college/14205-maharashtra-institute-of-technology-mit-aurangabad
366,Mahendra Engineering College,"₹ 70,000",TNEA, 7.3 ,(29 Reviews),['AICTE'],"Namakkal,TamilNadu",https://collegedunia.com/college/14225-mahendra-engineering-college-namakkal
367,Malnad College of Engineering - [MCE],"₹ 238,000",COMEDK UGET, 8 ,(66 Reviews),"['AICTE, UGC']","Hassan,Karnataka",https://collegedunia.com/college/14247-malnad-college-of-engineering-mce-hassan
368,Marian Engineering College - [MEC],"₹ 97,750",KEAM, 7.9 ,(35 Reviews),['AICTE'],"Thiruvananthapuram,Kerala",https://collegedunia.com/college/14287-marian-engineering-college-mec-thiruvananthapuram
369,National Institute of Science and Technology - [NIST],"₹ 83,500",JEE MAIN, 7.9 ,(172 Reviews),"['AICTE, UGC, NBA']","Berhampur,Orissa",https://collegedunia.com/college/14454-national-institute-of-science-and-technology-nist-berhampur
370,Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],"₹ 118,800",IPU CET, 7.1 ,(306 Reviews),['AICTE'],"NewDelhi,DelhiNCR",https://collegedunia.com/college/14513-dr-akhilesh-das-gupta-institute-of-technology-and-management-adgitm-new-delhi
371,Pillai College of Engineering - [PCE] Navi Mumbai,"₹ 126,000",JEE MAIN, 8.2 ,(146 Reviews),['AICTE'],"Mumbai,Maharashtra",https://collegedunia.com/college/14562-pillai-college-of-engineering-pce-navi-mumbai-mumbai
372,Poornima College of Engineering,"₹ 170,000",REAP, 7.7 ,(474 Reviews),"['AICTE, NBA']","Jaipur,Rajasthan",https://collegedunia.com/college/14574-poornima-college-of-engineering-jaipur
373,Pune Institute of Computer Technology- [PICT],"₹ 92,000",JEE MAIN, 8 ,(122 Reviews),['AICTE'],"Pune,Maharashtra",https://collegedunia.com/college/14624-pune-institute-of-computer-technology-pict-pune
374,SNS College of Engineering - [SNSCE],"₹ 300,000",TNEA, 7.9 ,(58 Reviews),"['AICTE, UGC, NBA']","Coimbatore,TamilNadu",https://collegedunia.com/college/14841-sns-college-of-engineering-snsce-coimbatore
375,Saintgits College of Engineering,"₹ 75,000",KEAM, 8.3 ,(49 Reviews),"['AICTE, NBA']","Kottayam,Kerala",https://collegedunia.com/college/14902-saintgits-college-of-engineering-kottayam
376,Saranathan College of Engineering - [SCE],"₹ 65,000",TNEA, 7.9 ,(33 Reviews),"['AICTE, NBA']","Tiruchirappalli,TamilNadu",https://collegedunia.com/college/14939-saranathan-college-of-engineering-sce-tiruchirappalli
377,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,"₹ 74,000",GUJCET, 8 ,(170 Reviews),['AICTE'],"Anand,Gujarat",https://collegedunia.com/college/14950-sardar-vallabhbhai-patel-institute-of-technology-svit-vasad-anand
378,Sethu Institute of Technology,"₹ 50,000",TNEA, 8.3 ,(27 Reviews),"['AICTE, UGC, NBA']","Kariapatti,TamilNadu",https://collegedunia.com/college/14998-sethu-institute-of-technology-kariapatti
379,Siliguri Institute of Technology - [SIT],"₹ 393,000",JEE MAIN, 7.7 ,(94 Reviews),['AICTE'],"Darjeeling,WestBengal",https://collegedunia.com/college/15136-siliguri-institute-of-technology-sit-darjeeling
380,Trichy Engineering College - [TEC],"₹ 60,000",TNEA, 8.1 ,(18 Reviews),['AICTE'],"Tiruchirappalli,TamilNadu",https://collegedunia.com/college/15487-trichy-engineering-college-tec-tiruchirappalli
381,JSS Academy of Technical Education - [JSSATE],"₹ 291,000",JEE MAIN, 7.5 ,(326 Reviews),"['AICTE, PCI']","Noida,UttarPradesh",https://collegedunia.com/college/16644-jss-academy-of-technical-education-jssate-noida
382,Vaagdevi College of Engineering  - [VCOE],"₹ 86,000",TS EAMCET, 7.9 ,(252 Reviews),"['AICTE, NBA']","Warangal,Telangana",https://collegedunia.com/college/19119-vaagdevi-college-of-engineering-vcoe-warangal
383,Shridhar University,"₹ 99,300",JEE MAIN, 7.9 ,(252 Reviews),"['AICTE, NBA']","Warangal,Telangana",https://collegedunia.com/college/19119-vaagdevi-college-of-engineering-vcoe-warangal
384,University of Engineering and Management - [UEM],"₹ 100,000",IEMJEE, 8.2 ,(114 Reviews),"['AICTE, UGC']","Jaipur,Rajasthan",https://collegedunia.com/university/25851-university-of-engineering-and-management-uem-jaipur
385,Amrita Vishwa Vidyapeetham,"₹ 300,000",AEEE, 7.7 ,(296 Reviews),"['AICTE, UGC, MHRD']","Coimbatore,TamilNadu",https://collegedunia.com/university/28384-amrita-vishwa-vidyapeetham-coimbatore
386,International Institute of Information Technology - [I²IT],"₹ 120,079",JEE MAIN, 7.7 ,(64 Reviews),['AICTE'],"Pune,Maharashtra",https://collegedunia.com/college/28422-international-institute-of-information-technology-iit-pune
387,CMR Engineering College - [CMREC],"₹ 75,000",TS EAMCET, 8.7 ,(373 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/28500-cmr-engineering-college-cmrec-hyderabad
388,Lingaya's Vidyapeeth,"₹ 134,500",JEE MAIN, 7.3 ,(184 Reviews),"['NCTE, AICTE, COA, PCI, BCI']","Faridabad,Haryana",https://collegedunia.com/university/28681-lingayas-vidyapeeth-faridabad
389,Matrusri Engineering College,"₹ 105,000",TS EAMCET, 7.2 ,(57 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/28771-matrusri-engineering-college-hyderabad
390,Vemana Institute of Technology,"₹ 147,720",COMEDK UGET, 7.4 ,(34 Reviews),['AICTE'],"Bangalore,Karnataka",https://collegedunia.com/college/45836-vemana-institute-of-technology-bangalore
391,The Northcap University - [NCU],"₹ 268,000",JEE MAIN, 8 ,(132 Reviews),"['BCI, UGC, MHRD, AIU']","Gurgaon,Haryana",https://collegedunia.com/university/55139-the-northcap-university-ncu-gurgaon
392,Jaipur Engineering College and Research Centre,"₹ 92,000",REAP, 7.9 ,(355 Reviews),['AICTE'],"Jaipur,Rajasthan",https://collegedunia.com/college/57062-jaipur-engineering-college-and-research-centre-jaipur
393,Dayananda Sagar University - [DSU],"₹ 119,793",DSAT, 7.7 ,(57 Reviews),"['AICTE, UGC']","Bangalore,Karnataka",https://collegedunia.com/university/57903-dayananda-sagar-university-dsu-bangalore
394,Techno Main Salt Lake,"₹ 483,800",WBJEE, 7.9 ,(336 Reviews),['AICTE'],"Kolkata,WestBengal",https://collegedunia.com/college/58121-techno-main-salt-lake-kolkata
395,VIT University - [VIT- AP],"₹ 198,000",VITEEE, 8.2 ,(71 Reviews),['UGC'],"Guntur,AndhraPradesh",https://collegedunia.com/university/59270-vit-university-vit-ap-guntur
